Date,INTC,SMTC,AWSL,MU,AMAT,ASML,NVDA,TXN,QCOM,AMD
21-07-2000,0.676422909,0.490735925,-0.15799259,1.940723557,-0.07902109,-0.507358777,-0.463427935,-0.230570421,-0.756411817,0.431082188
24-07-2000,0.677116403,0.501729745,-0.168461283,1.936125699,-0.081017784,-0.507495308,-0.463322178,-0.232370823,-0.75666423,0.426779211
25-07-2000,0.67760282,0.512745263,-0.178121544,1.931841183,-0.082845774,-0.507638842,-0.463217717,-0.234136913,-0.756880997,0.42232912
26-07-2000,0.677872333,0.523746678,-0.186978138,1.927879359,-0.084489908,-0.507789182,-0.463113728,-0.235858913,-0.757057704,0.417742368
27-07-2000,0.677932016,0.534740741,-0.195038022,1.924283309,-0.085921615,-0.507943461,-0.463009275,-0.237522605,-0.757185057,0.413039771
28-07-2000,0.67779136,0.545754337,-0.202310478,1.921091211,-0.087107858,-0.508097798,-0.462903522,-0.239098785,-0.757248359,0.408257273
31-07-2000,0.677471683,0.556780779,-0.208806618,1.918258342,-0.088037056,-0.508249767,-0.462796273,-0.240588597,-0.757236127,0.40340557
01-08-2000,0.676940913,0.567801223,-0.214538772,1.91570991,-0.088711248,-0.508400708,-0.462688442,-0.242000863,-0.757143278,0.398492483
02-08-2000,0.676203094,0.578822481,-0.219521161,1.913416456,-0.08912686,-0.508549339,-0.462579656,-0.243330361,-0.756954718,0.393547175
03-08-2000,0.675242481,0.589797833,-0.223770425,1.911282633,-0.08928709,-0.50869529,-0.462469963,-0.244577644,-0.756661064,0.388604036
04-08-2000,0.674026531,0.600703157,-0.227311426,1.909248103,-0.089195148,-0.508836273,-0.462359933,-0.245741345,-0.756265078,0.383664236
07-08-2000,0.672546391,0.611506921,-0.230164862,1.907251927,-0.088865188,-0.508973263,-0.462249639,-0.246829645,-0.755748896,0.378744123
08-08-2000,0.670763093,0.622158696,-0.232353249,1.905141333,-0.088326474,-0.509107817,-0.462140245,-0.247867431,-0.755114742,0.373836234
09-08-2000,0.668641456,0.632608436,-0.233871012,1.902761234,-0.087612778,-0.509241027,-0.462031785,-0.24887804,-0.754362688,0.368919734
10-08-2000,0.666135279,0.642805429,-0.234742501,1.899938339,-0.086760128,-0.509374916,-0.461924307,-0.249873739,-0.753484719,0.364001231
11-08-2000,0.663210312,0.652716066,-0.234993736,1.89658609,-0.085801719,-0.509511431,-0.461818025,-0.250868118,-0.752487118,0.359101482
14-08-2000,0.659818329,0.662343471,-0.234652826,1.89257745,-0.08477467,-0.509653181,-0.461712908,-0.251861784,-0.751377067,0.354223454
15-08-2000,0.655914909,0.671656132,-0.233749367,1.887740415,-0.083728434,-0.509802816,-0.461608996,-0.252879173,-0.750143109,0.34936174
16-08-2000,0.651458568,0.680593091,-0.23231373,1.881885241,-0.082711828,-0.509963483,-0.461507431,-0.253943622,-0.748780705,0.344509072
17-08-2000,0.646406894,0.689070614,-0.230376928,1.874858873,-0.081781034,-0.510138468,-0.461409027,-0.255074082,-0.747295376,0.339659842
18-08-2000,0.640720168,0.697052713,-0.227971022,1.866533646,-0.080983089,-0.510331437,-0.461313929,-0.256286393,-0.745690985,0.334810035
21-08-2000,0.63436002,0.704494557,-0.225128896,1.856798912,-0.080364017,-0.51054607,-0.461222912,-0.257609325,-0.743976178,0.329943523
22-08-2000,0.62729895,0.711367425,-0.221883853,1.845567124,-0.079960111,-0.510784187,-0.461136307,-0.259036728,-0.742149135,0.325068389
23-08-2000,0.619515992,0.71762368,-0.218269143,1.832747983,-0.079814746,-0.511049091,-0.461053558,-0.260576354,-0.740214794,0.320182347
24-08-2000,0.610973608,0.723184352,-0.214317658,1.818235887,-0.079975516,-0.511343002,-0.46097583,-0.262248439,-0.738188533,0.315284933
25-08-2000,0.601663107,0.727969988,-0.210061821,1.801953537,-0.08047918,-0.511668355,-0.460903307,-0.264068861,-0.736093968,0.310374566
28-08-2000,0.591591406,0.731931027,-0.205534277,1.783886863,-0.081354575,-0.512025997,-0.460835981,-0.266031588,-0.733931778,0.305455235
29-08-2000,0.580755959,0.735068376,-0.20076819,1.764023127,-0.08262428,-0.51241717,-0.460773975,-0.268141312,-0.731711901,0.300533589
30-08-2000,0.569159279,0.737371121,-0.195796615,1.742370572,-0.084313026,-0.512842369,-0.460717336,-0.270390694,-0.729438002,0.295609429
31-08-2000,0.556817219,0.738793575,-0.190652454,1.718963147,-0.086436215,-0.513301475,-0.460666419,-0.272780397,-0.727113876,0.290683791
01-09-2000,0.543745811,0.739297924,-0.185367993,1.693845947,-0.089009894,-0.513794997,-0.460621398,-0.275311459,-0.724754262,0.285741416
05-09-2000,0.52998277,0.738901394,-0.179973955,1.667096518,-0.092033725,-0.514324359,-0.46058216,-0.277976443,-0.722363185,0.280785066
06-09-2000,0.515597018,0.73760813,-0.174499633,1.638780773,-0.095504349,-0.514889423,-0.460548775,-0.280764493,-0.719944359,0.27583478
07-09-2000,0.500644776,0.735402727,-0.168973571,1.609024902,-0.099407619,-0.515487722,-0.460520819,-0.283663982,-0.717514905,0.270903732
08-09-2000,0.485149316,0.732227179,-0.163423629,1.57788369,-0.103734486,-0.516119141,-0.460498814,-0.286667991,-0.715087287,0.265977022
11-09-2000,0.469171995,0.728093741,-0.157876258,1.545487149,-0.108461762,-0.516781123,-0.460482471,-0.289765844,-0.71266401,0.261059367
12-09-2000,0.452762097,0.722967518,-0.152355608,1.511971619,-0.113568844,-0.51747167,-0.460471728,-0.292954202,-0.710250871,0.25614275
13-09-2000,0.435973473,0.716838889,-0.146883945,1.477475198,-0.119021843,-0.518188263,-0.460466791,-0.296221582,-0.707860199,0.251235085
14-09-2000,0.418888037,0.709700901,-0.14150229,1.442120412,-0.124793579,-0.518928626,-0.460467857,-0.299557468,-0.705507002,0.246340107
15-09-2000,0.401579807,0.701557543,-0.136230064,1.406079858,-0.130850002,-0.519690518,-0.460474862,-0.302961821,-0.703188154,0.241459696
18-09-2000,0.38412272,0.692439362,-0.131084778,1.369528787,-0.137150919,-0.520470241,-0.460488319,-0.306421485,-0.700916297,0.236588758
19-09-2000,0.366587334,0.682347126,-0.126081779,1.332629979,-0.143653697,-0.521264694,-0.460508006,-0.309931343,-0.698705825,0.231726921
